Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,VND/MYR
2024-12-31,0.000175213
2024-12-30,0.000175217
2024-12-29,0.000175566
2024-12-28,0.000175566
2024-12-27,0.000175632
2024-12-26,0.000175589
2024-12-25,0.000176266
2024-12-24,0.000176220
2024-12-23,0.000176317
2024-12-22,0.000176965
2024-12-21,0.000176967
2024-12-20,0.000176967
2024-12-19,0.000176754
2024-12-18,0.000175446
2024-12-17,0.000175275
2024-12-16,0.000175240
2024-12-15,0.000175054
2024-12-14,0.000175054
2024-12-13,0.000175075
2024-12-12,0.000174572
2024-12-11,0.000174417
2024-12-10,0.000174370
2024-12-09,0.000174169
2024-12-08,0.000173856
2024-12-07,0.000173856
2024-12-06,0.000173938
2024-12-05,0.000174200
2024-12-04,0.000175233
2024-12-03,0.000175801
2024-12-02,0.000175589
2024-12-01,0.000175257
2024-11-30,0.000175257
2024-11-29,0.000175125
2024-11-28,0.000175045
2024-11-27,0.000174878
2024-11-26,0.000175333
2024-11-25,0.000175118
2024-11-24,0.000175638
2024-11-23,0.000175638
2024-11-22,0.000175549
2024-11-21,0.000175500
2024-11-20,0.000175701
2024-11-19,0.000175858
2024-11-18,0.000175991
2024-11-17,0.000175885
2024-11-16,0.000175885
2024-11-15,0.000176020
2024-11-14,0.000176272
2024-11-13,0.000175254
2024-11-12,0.000174539
2024-11-11,0.000173848
2024-11-10,0.000173150
2024-11-09,0.000173150
2024-11-08,0.000173141
2024-11-07,0.000173427
2024-11-06,0.000172994
2024-11-05,0.000171635
2024-11-04,0.000172541
2024-11-03,0.000172834
2024-11-02,0.000172834
2024-11-01,0.000172827
2024-10-31,0.000172973
2024-10-30,0.000172930
2024-10-29,0.000172450
2024-10-28,0.000171642
2024-10-27,0.000170838
2024-10-26,0.000170838
2024-10-25,0.000170840
2024-10-24,0.000170974
2024-10-23,0.000170774
2024-10-22,0.000170082
2024-10-21,0.000170009
2024-10-20,0.000170845
2024-10-19,0.000170849
2024-10-18,0.000170670
2024-10-17,0.000171058
2024-10-16,0.000171719
2024-10-15,0.000172526
2024-10-14,0.000172609
2024-10-13,0.000172539
2024-10-12,0.000172541
2024-10-11,0.000172484
2024-10-10,0.000172558
2024-10-09,0.000172301
2024-10-08,0.000172340
2024-10-07,0.000172009
2024-10-06,0.000170216
2024-10-05,0.000170214
2024-10-04,0.000170368
2024-10-03,0.000170266
2024-10-02,0.000168919
2024-10-01,0.000169142
2024-09-30,0.000167449
2024-09-29,0.000167325
2024-09-28,0.000167326
2024-09-27,0.000167363
2024-09-26,0.000167974
2024-09-25,0.000167799
2024-09-24,0.000169159
2024-09-23,0.000170690
2024-09-22,0.000170578
2024-09-21,0.000170577
2024-09-20,0.000170528
2024-09-19,0.000171598
2024-09-18,0.000172112
2024-09-17,0.000173206
2024-09-16,0.000175029
2024-09-15,0.000175005
2024-09-14,0.000175007
2024-09-13,0.000175188
2024-09-12,0.000176142
2024-09-11,0.000175970
2024-09-10,0.000176106
2024-09-09,0.000176629
2024-09-08,0.000175755
2024-09-07,0.000175753
2024-09-06,0.000175616
2024-09-05,0.000174954
2024-09-04,0.000174844
2024-09-03,0.000175417
2024-09-02,0.000174527
2024-09-01,0.000173421
2024-08-31,0.000173418
2024-08-30,0.000173356
2024-08-29,0.000173350
2024-08-28,0.000174505
2024-08-27,0.000175004
2024-08-26,0.000174728
2024-08-25,0.000174997
2024-08-24,0.000175000
2024-08-23,0.000175044
2024-08-22,0.000175262
2024-08-21,0.000175365
2024-08-20,0.000175218
2024-08-19,0.000174998
2024-08-18,0.000176694
2024-08-17,0.000176710
2024-08-16,0.000176842
