Daily BID rates @ +/- 0.0%
OANDA Exchange Rates
https://fxds-hcc.oanda.com


Period Start Date,IDR/MYR
2024-12-31,0.000275314
2024-12-30,0.000275561
2024-12-29,0.000275767
2024-12-28,0.000275784
2024-12-27,0.000275333
2024-12-26,0.000275230
2024-12-25,0.000274260
2024-12-24,0.000276041
2024-12-23,0.000276890
2024-12-22,0.000277932
2024-12-21,0.000277940
2024-12-20,0.000277197
2024-12-19,0.000275442
2024-12-18,0.000276518
2024-12-17,0.000277032
2024-12-16,0.000277563
2024-12-15,0.000276957
2024-12-14,0.000276987
2024-12-13,0.000277518
2024-12-12,0.000277669
2024-12-11,0.000277805
2024-12-10,0.000278518
2024-12-09,0.000278730
2024-12-08,0.000277741
2024-12-07,0.000277742
2024-12-06,0.000278578
2024-12-05,0.000278854
2024-12-04,0.000279478
2024-12-03,0.000279912
2024-12-02,0.000280165
2024-12-01,0.000280147
2024-11-30,0.000280143
2024-11-29,0.000279883
2024-11-28,0.000279585
2024-11-27,0.000279609
2024-11-26,0.000279977
2024-11-25,0.000280387
2024-11-24,0.000279933
2024-11-23,0.000279951
2024-11-22,0.000280261
2024-11-21,0.000280058
2024-11-20,0.000280976
2024-11-19,0.000281805
2024-11-18,0.000282031
2024-11-17,0.000280805
2024-11-16,0.000280842
2024-11-15,0.000280871
2024-11-14,0.000281078
2024-11-13,0.000281268
2024-11-12,0.000280222
2024-11-11,0.000280040
2024-11-10,0.000279765
2024-11-09,0.000279765
2024-11-08,0.000279913
2024-11-07,0.000280652
2024-11-06,0.000277411
2024-11-05,0.000276065
2024-11-04,0.000276877
2024-11-03,0.000275288
2024-11-02,0.000275259
2024-11-01,0.000277220
2024-10-31,0.000278401
2024-10-30,0.000278764
2024-10-29,0.000277017
2024-10-28,0.000276814
2024-10-27,0.000276052
2024-10-26,0.000276203
2024-10-25,0.000276800
2024-10-24,0.000278470
2024-10-23,0.000277454
2024-10-22,0.000277507
2024-10-21,0.000277109
2024-10-20,0.000277565
2024-10-19,0.000277566
2024-10-18,0.000277731
2024-10-17,0.000277125
2024-10-16,0.000275905
2024-10-15,0.000276403
2024-10-14,0.000275195
2024-10-13,0.000274972
2024-10-12,0.000274972
2024-10-11,0.000274569
2024-10-10,0.000273390
2024-10-09,0.000273411
2024-10-08,0.000273222
2024-10-07,0.000271926
2024-10-06,0.000268811
2024-10-05,0.000268812
2024-10-04,0.000270553
2024-10-03,0.000272860
2024-10-02,0.000272674
2024-10-01,0.000273222
2024-09-30,0.000271326
2024-09-29,0.000272092
2024-09-28,0.000272087
2024-09-27,0.000272343
2024-09-26,0.000273270
2024-09-25,0.000272455
2024-09-24,0.000274491
2024-09-23,0.000276460
2024-09-22,0.000276659
2024-09-21,0.000276651
2024-09-20,0.000276728
2024-09-19,0.000277231
2024-09-18,0.000276866
2024-09-17,0.000277841
2024-09-16,0.000279354
2024-09-15,0.000278745
2024-09-14,0.000278744
2024-09-13,0.000279348
2024-09-12,0.000280532
2024-09-11,0.000280491
2024-09-10,0.000281015
2024-09-09,0.000281932
2024-09-08,0.000279193
2024-09-07,0.000279167
2024-09-06,0.000280575
2024-09-05,0.000281039
2024-09-04,0.000280825
2024-09-03,0.000280790
2024-09-02,0.000279279
2024-09-01,0.000277789
2024-08-31,0.000277783
2024-08-30,0.000278312
2024-08-29,0.000279379
2024-08-28,0.000280843
2024-08-27,0.000280300
2024-08-26,0.000281649
2024-08-25,0.000283497
2024-08-24,0.000283504
2024-08-23,0.000281577
2024-08-22,0.000279356
2024-08-21,0.000282261
2024-08-20,0.000282463
2024-08-19,0.000280729
2024-08-18,0.000282011
2024-08-17,0.000282037
2024-08-16,0.000282149
2024-08-15,0.000281723
2024-08-14,0.000282448
2024-08-13,0.000280767
2024-08-12,0.000278327
2024-08-11,0.000276519
